source,target,probability_mean,symbolic_confidence,neurosymbolic_score,confidence_label,path_distance,key_relation,ontology_path,known_positive,explanation,explanation_blocks,probability_std,numeric_score_target,source_type,target_type,score_final,sym_base_score,path_length,sym_category,top5_influent_nodes,best_ontology_path
Task_about_Java_Basics,Stash,0.8950740526756379,0.7480992677262766,0.799540442458553,Moderate,1,containsGameElement,Task_about_Java_Basics --containsGameElement--> Stash,True,"The game element 'Stash' is recommended for the topic 'Task_about_Java_Basics' (neuro-symbolic score: 0.800 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.75). Ontological path: [Task_about_Java_Basics --containsGameElement--> Stash]. 'Stash' is an element related to 'Stash'.","{""strength"": ""The game element 'Stash' is recommended for the topic 'Task_about_Java_Basics' (neuro-symbolic score: 0.800 — Moderate confidence, validated)."", ""ontology"": ""The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.75)."", ""path"": ""Ontological path: [Task_about_Java_Basics --containsGameElement--> Stash]."", ""target"": ""'Stash' is an element related to 'Stash'.""}",0.20167724860850508,0.9172442572270822,GamifiedResource,Reward,0.8995080935859268,1.0,1,direct,Arithmetic_operations | Java_Basics,Task_about_Java_Basics → Stash
Task_about_Java_Basics,Level_Up,0.9043326140934885,0.7405941889221156,0.7979026377320961,Moderate,1,containsGameElement,Task_about_Java_Basics --containsGameElement--> Level_Up,True,"The game element 'Level_Up' is recommended for the topic 'Task_about_Java_Basics' (neuro-symbolic score: 0.798 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.74). Ontological path: [Task_about_Java_Basics --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'.","{""strength"": ""The game element 'Level_Up' is recommended for the topic 'Task_about_Java_Basics' (neuro-symbolic score: 0.798 — Moderate confidence, validated)."", ""ontology"": ""The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.74)."", ""path"": ""Ontological path: [Task_about_Java_Basics --containsGameElement--> Level_Up]."", ""target"": ""'Level_Up' is an element related to 'Level Up'.""}",0.20166778800677335,1.0,GamifiedResource,Level,0.923466091274791,1.0,1,direct,Variables | Strings | Java_Basics | Stash,Task_about_Java_Basics → Level_Up
Multi-level_inheritance,Level_Up,0.8859160568900603,0.7484386827243925,0.7965557636823762,Moderate,1,containsGameElement,Multi-level_inheritance --containsGameElement--> Level_Up,True,"The game element 'Level_Up' is recommended for the topic 'Multi-level_inheritance' (neuro-symbolic score: 0.797 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.75). Ontological path: [Multi-level_inheritance --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'.","{""strength"": ""The game element 'Level_Up' is recommended for the topic 'Multi-level_inheritance' (neuro-symbolic score: 0.797 — Moderate confidence, validated)."", ""ontology"": ""The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.75)."", ""path"": ""Ontological path: [Multi-level_inheritance --containsGameElement--> Level_Up]."", ""target"": ""'Level_Up' is an element related to 'Level Up'.""}",0.20067766402510634,1.0,GamifiedResource,Level,0.9087328455120482,1.0,1,direct,Polymorphism | Inheritance | Overloading | Overloaded_constructors,Multi-level_inheritance → Level_Up
Buil-in_Data_Types,Level_Up,0.8847540703549323,0.7430961433475896,0.7926764178001595,Moderate,1,containsGameElement,Buil-in_Data_Types --containsGameElement--> Level_Up,True,"The game element 'Level_Up' is recommended for the topic 'Buil-in_Data_Types' (neuro-symbolic score: 0.793 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.74). Ontological path: [Buil-in_Data_Types --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'.","{""strength"": ""The game element 'Level_Up' is recommended for the topic 'Buil-in_Data_Types' (neuro-symbolic score: 0.793 — Moderate confidence, validated)."", ""ontology"": ""The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.74)."", ""path"": ""Ontological path: [Buil-in_Data_Types --containsGameElement--> Level_Up]."", ""target"": ""'Level_Up' is an element related to 'Level Up'.""}",0.19346186067113794,1.0,GamifiedResource,Level,0.9078032562839458,1.0,1,direct,Tiny_stash | Variables | 3.16.0,Buil-in_Data_Types → Level_Up
Task_about_Java_Basics,BLockGame,0.8696081560415838,0.7329124731139275,0.7807559621386072,Moderate,1,containsGameElement,Task_about_Java_Basics --containsGameElement--> BLockGame,True,"The game element 'BLockGame' is recommended for the topic 'Task_about_Java_Basics' (neuro-symbolic score: 0.781 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Task_about_Java_Basics --containsGameElement--> BLockGame]. 'BLockGame' is an element related to 'BLockGame'.","{""strength"": ""The game element 'BLockGame' is recommended for the topic 'Task_about_Java_Basics' (neuro-symbolic score: 0.781 — Moderate confidence, validated)."", ""ontology"": ""The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73)."", ""path"": ""Ontological path: [Task_about_Java_Basics --containsGameElement--> BLockGame]."", ""target"": ""'BLockGame' is an element related to 'BLockGame'.""}",0.19351947094807062,0.12935257077791257,GamifiedResource,Badge,0.7215570389888496,1.0,1,direct,Control_Statements | Loops | Stash,Task_about_Java_Basics → BLockGame
Functions,Stash,0.853528955801052,0.7330736167908065,0.7752329854443925,Moderate,1,containsGameElement,Functions --containsGameElement--> Stash,True,"The game element 'Stash' is recommended for the topic 'Functions' (neuro-symbolic score: 0.775 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Functions --containsGameElement--> Stash]. 'Stash' is an element related to 'Stash'.","{""strength"": ""The game element 'Stash' is recommended for the topic 'Functions' (neuro-symbolic score: 0.775 — Moderate confidence, validated)."", ""ontology"": ""The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73)."", ""path"": ""Ontological path: [Functions --containsGameElement--> Stash]."", ""target"": ""'Stash' is an element related to 'Stash'.""}",0.19246913201517993,0.9172442572270822,GamifiedResource,Reward,0.8662720160862581,1.0,1,direct,Strings | Control_Statements,Functions → Stash
Buil-in_Data_Types,Tiny_stash,0.8347647973434974,0.7430961433475896,0.7751801722461573,Moderate,1,containsGameElement,Buil-in_Data_Types --containsGameElement--> Tiny_stash,True,"The game element 'Tiny_stash' is recommended for the topic 'Buil-in_Data_Types' (neuro-symbolic score: 0.775 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.74). Ontological path: [Buil-in_Data_Types --containsGameElement--> Tiny_stash]. 'Tiny_stash' is an element related to 'Tiny stash'.","{""strength"": ""The game element 'Tiny_stash' is recommended for the topic 'Buil-in_Data_Types' (neuro-symbolic score: 0.775 — Moderate confidence, validated)."", ""ontology"": ""The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.74)."", ""path"": ""Ontological path: [Buil-in_Data_Types --containsGameElement--> Tiny_stash]."", ""target"": ""'Tiny_stash' is an element related to 'Tiny stash'.""}",0.22316987488046924,0.0415518252487452,GamifiedResource,Reward,0.6761222029245469,1.0,1,direct,Level_Up | Variables | 3.16.0,Buil-in_Data_Types → Tiny_stash
Strings,Stash,0.8536176639725861,0.7329262013784892,0.775168213286423,Moderate,1,containsGameElement,Strings --containsGameElement--> Stash,True,"The game element 'Stash' is recommended for the topic 'Strings' (neuro-symbolic score: 0.775 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Strings --containsGameElement--> Stash]. 'Stash' is an element related to 'Stash'.","{""strength"": ""The game element 'Stash' is recommended for the topic 'Strings' (neuro-symbolic score: 0.775 — Moderate confidence, validated)."", ""ontology"": ""The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73)."", ""path"": ""Ontological path: [Strings --containsGameElement--> Stash]."", ""target"": ""'Stash' is an element related to 'Stash'.""}",0.1925058040384176,0.9172442572270822,GamifiedResource,Reward,0.8663429826234854,1.0,1,direct,Functions | Java_Basics | Arithmetic_operations,Strings → Stash
Control_Statements,Stash,0.8526529607406583,0.7329297750854544,0.7748328900647758,Moderate,1,containsGameElement,Control_Statements --containsGameElement--> Stash,True,"The game element 'Stash' is recommended for the topic 'Control_Statements' (neuro-symbolic score: 0.775 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Control_Statements --containsGameElement--> Stash]. 'Stash' is an element related to 'Stash'.","{""strength"": ""The game element 'Stash' is recommended for the topic 'Control_Statements' (neuro-symbolic score: 0.775 — Moderate confidence, validated)."", ""ontology"": ""The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73)."", ""path"": ""Ontological path: [Control_Statements --containsGameElement--> Stash]."", ""target"": ""'Stash' is an element related to 'Stash'.""}",0.19184405489842352,0.9172442572270822,GamifiedResource,Reward,0.8655712200379432,1.0,1,direct,Functions | Task_about_Java_Basics | BLockGame,Control_Statements → Stash
Variables,Level_Up,0.8462152395770788,0.7328370330315265,0.7725194053224698,Moderate,1,containsGameElement,Variables --containsGameElement--> Level_Up,True,"The game element 'Level_Up' is recommended for the topic 'Variables' (neuro-symbolic score: 0.773 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Variables --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'.","{""strength"": ""The game element 'Level_Up' is recommended for the topic 'Variables' (neuro-symbolic score: 0.773 — Moderate confidence, validated)."", ""ontology"": ""The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73)."", ""path"": ""Ontological path: [Variables --containsGameElement--> Level_Up]."", ""target"": ""'Level_Up' is an element related to 'Level Up'.""}",0.1892758495827941,1.0,GamifiedResource,Level,0.8769721916616631,1.0,1,direct,Task_about_Java_Basics | Java_Basics | Tiny_stash | Buil-in_Data_Types,Variables → Level_Up
