source,target,neurosymbolic_score,confidence_label,path_distance,known_positive,ontology_path,explanation
Task_about_Java_Basics,Stash,0.799540442458553,Moderate,1,True,Task_about_Java_Basics --containsGameElement--> Stash,"The game element 'Stash' is recommended for the topic 'Task_about_Java_Basics' (neuro-symbolic score: 0.800 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.75). Ontological path: [Task_about_Java_Basics --containsGameElement--> Stash]. 'Stash' is an element related to 'Stash'."
Task_about_Java_Basics,Level_Up,0.7979026377320961,Moderate,1,True,Task_about_Java_Basics --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Task_about_Java_Basics' (neuro-symbolic score: 0.798 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.74). Ontological path: [Task_about_Java_Basics --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Multi-level_inheritance,Level_Up,0.7965557636823762,Moderate,1,True,Multi-level_inheritance --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Multi-level_inheritance' (neuro-symbolic score: 0.797 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.75). Ontological path: [Multi-level_inheritance --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Buil-in_Data_Types,Level_Up,0.7926764178001595,Moderate,1,True,Buil-in_Data_Types --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Buil-in_Data_Types' (neuro-symbolic score: 0.793 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.74). Ontological path: [Buil-in_Data_Types --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Task_about_Java_Basics,BLockGame,0.7807559621386072,Moderate,1,True,Task_about_Java_Basics --containsGameElement--> BLockGame,"The game element 'BLockGame' is recommended for the topic 'Task_about_Java_Basics' (neuro-symbolic score: 0.781 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Task_about_Java_Basics --containsGameElement--> BLockGame]. 'BLockGame' is an element related to 'BLockGame'."
Functions,Stash,0.7752329854443925,Moderate,1,True,Functions --containsGameElement--> Stash,"The game element 'Stash' is recommended for the topic 'Functions' (neuro-symbolic score: 0.775 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Functions --containsGameElement--> Stash]. 'Stash' is an element related to 'Stash'."
Buil-in_Data_Types,Tiny_stash,0.7751801722461573,Moderate,1,True,Buil-in_Data_Types --containsGameElement--> Tiny_stash,"The game element 'Tiny_stash' is recommended for the topic 'Buil-in_Data_Types' (neuro-symbolic score: 0.775 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.74). Ontological path: [Buil-in_Data_Types --containsGameElement--> Tiny_stash]. 'Tiny_stash' is an element related to 'Tiny stash'."
Strings,Stash,0.775168213286423,Moderate,1,True,Strings --containsGameElement--> Stash,"The game element 'Stash' is recommended for the topic 'Strings' (neuro-symbolic score: 0.775 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Strings --containsGameElement--> Stash]. 'Stash' is an element related to 'Stash'."
Control_Statements,Stash,0.7748328900647758,Moderate,1,True,Control_Statements --containsGameElement--> Stash,"The game element 'Stash' is recommended for the topic 'Control_Statements' (neuro-symbolic score: 0.775 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Control_Statements --containsGameElement--> Stash]. 'Stash' is an element related to 'Stash'."
Variables,Level_Up,0.7725194053224698,Moderate,1,True,Variables --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Variables' (neuro-symbolic score: 0.773 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Variables --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Overloading,Level_Up,0.7715118721840615,Moderate,1,True,Overloading --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Overloading' (neuro-symbolic score: 0.772 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Overloading --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Overriding,Level_Up,0.7703427990602502,Moderate,1,True,Overriding --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Overriding' (neuro-symbolic score: 0.770 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Overriding --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Overloaded_constructors,Level_Up,0.7636090709291237,Moderate,1,True,Overloaded_constructors --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Overloaded_constructors' (neuro-symbolic score: 0.764 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.74). Ontological path: [Overloaded_constructors --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Control_Statements,BLockGame,0.7478432505644714,Moderate,1,True,Control_Statements --containsGameElement--> BLockGame,"The game element 'BLockGame' is recommended for the topic 'Control_Statements' (neuro-symbolic score: 0.748 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Control_Statements --containsGameElement--> BLockGame]. 'BLockGame' is an element related to 'BLockGame'."
Loops,BLockGame,0.7456895394388754,Moderate,1,True,Loops --containsGameElement--> BLockGame,"The game element 'BLockGame' is recommended for the topic 'Loops' (neuro-symbolic score: 0.746 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.73). Ontological path: [Loops --containsGameElement--> BLockGame]. 'BLockGame' is an element related to 'BLockGame'."
gr,bonusPoints,0.7322543828329228,Moderate,1,True,gr --containsGameElement--> bonusPoints,"The game element 'bonusPoints' is recommended for the topic 'gr' (neuro-symbolic score: 0.732 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.70). Ontological path: [gr --containsGameElement--> bonusPoints]. 'bonusPoints' is an element related to 'bonusPoints'."
Variables,Tiny_stash,0.7130639110192473,Moderate,1,True,Variables --containsGameElement--> Tiny_stash,"The game element 'Tiny_stash' is recommended for the topic 'Variables' (neuro-symbolic score: 0.713 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.74). Ontological path: [Variables --containsGameElement--> Tiny_stash]. 'Tiny_stash' is an element related to 'Tiny stash'."
Arithmetic_operations,Stash,0.677980008288372,Moderate,1,True,Arithmetic_operations --containsGameElement--> Stash,"The game element 'Stash' is recommended for the topic 'Arithmetic_operations' (neuro-symbolic score: 0.678 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.75). Ontological path: [Arithmetic_operations --containsGameElement--> Stash]. 'Stash' is an element related to 'Stash'."
LevelGE,Level_Up,0.6539301874468488,Moderate,1,False,LevelGE --has_reference(rev)--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'LevelGE' (neuro-symbolic score: 0.654 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_reference(rev)' relation (confidence: 0.76). Ontological path: [LevelGE --has_reference(rev)--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
demo_GR1,Level_Up,0.6533820599428066,Moderate,1,True,demo_GR1 --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'demo_GR1' (neuro-symbolic score: 0.653 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.70). Ontological path: [demo_GR1 --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
demo_GR2,Availability_Block_Game_by_level,0.6352541508008394,Moderate,1,True,demo_GR2 --containsGameElement--> Availability_Block_Game_by_level,"The game element 'Availability_Block_Game_by_level' is recommended for the topic 'demo_GR2' (neuro-symbolic score: 0.635 — Moderate confidence, validated). The ontology directly validates this recommendation via a 'containsGameElement' relation (confidence: 0.70). Ontological path: [demo_GR2 --containsGameElement--> Availability_Block_Game_by_level]. 'Availability_Block_Game_by_level' is an element related to 'Availability Block Game by level'."
Single_level_inheritance,Level_Up,0.5798082479598752,Moderate,2,False,Single_level_inheritance --hasPreResource(rev)--> Multi-level_inheritance --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Single_level_inheritance' (neuro-symbolic score: 0.580 — Moderate confidence, novel). The ontology moderately supports this recommendation through 1 intermediate concept(s) (confidence: 0.41, path length: 2). Ontological path: [Single_level_inheritance --hasPreResource(rev)--> Multi-level_inheritance --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
