source,target,probability_mean,symbolic_confidence,neurosymbolic_score,confidence_label,path_distance,key_relation,ontology_path,known_positive,explanation
Arithmetic_operations,Stash,0.6162974633485859,1.0,0.8848892390045757,High,1,containsGameElement,Arithmetic_operations --containsGameElement--> Stash,True,"Stash is strongly recommended for Arithmetic_operations (neuro-symbolic score: 0.885 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Arithmetic_operations --containsGameElement--> Stash]. Stash is a collection mechanic that incentivizes completing exercises and accumulating resources."
Task_about_Java_Basics,Level_Up,0.6145252492112719,1.0,0.8843575747633815,High,1,containsGameElement,Task_about_Java_Basics --containsGameElement--> Level_Up,True,"Level_Up is strongly recommended for Task_about_Java_Basics (neuro-symbolic score: 0.884 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Task_about_Java_Basics --containsGameElement--> Level_Up]. Level_Up is a leveling system that rewards progressive mastery of the topic."
Task_about_Java_Basics,BLockGame,0.6144163992089832,1.0,0.8843249197626949,High,1,containsGameElement,Task_about_Java_Basics --containsGameElement--> BLockGame,True,"BLockGame is strongly recommended for Task_about_Java_Basics (neuro-symbolic score: 0.884 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Task_about_Java_Basics --containsGameElement--> BLockGame]. BLockGame is a block-based coding game that reinforces logical reasoning and sequential thinking."
Task_about_Java_Basics,Stash,0.6144163992089832,1.0,0.8843249197626949,High,1,containsGameElement,Task_about_Java_Basics --containsGameElement--> Stash,True,"Stash is strongly recommended for Task_about_Java_Basics (neuro-symbolic score: 0.884 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Task_about_Java_Basics --containsGameElement--> Stash]. Stash is a collection mechanic that incentivizes completing exercises and accumulating resources."
Buil-in_Data_Types,Level_Up,0.5891580865915041,1.0,0.8767474259774513,High,1,containsGameElement,Buil-in_Data_Types --containsGameElement--> Level_Up,True,"Level_Up is strongly recommended for Buil-in_Data_Types (neuro-symbolic score: 0.877 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Buil-in_Data_Types --containsGameElement--> Level_Up]. Level_Up is a leveling system that rewards progressive mastery of the topic."
Buil-in_Data_Types,Tiny_stash,0.5891109870012026,1.0,0.8767332961003607,High,1,containsGameElement,Buil-in_Data_Types --containsGameElement--> Tiny_stash,True,"Tiny_stash is strongly recommended for Buil-in_Data_Types (neuro-symbolic score: 0.877 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Buil-in_Data_Types --containsGameElement--> Tiny_stash]. Tiny_stash is a lightweight version of the stash mechanic, suitable for shorter activities."
Overloading,Level_Up,0.560126192522794,1.0,0.8680378577568382,High,1,containsGameElement,Overloading --containsGameElement--> Level_Up,True,"Level_Up is strongly recommended for Overloading (neuro-symbolic score: 0.868 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Overloading --containsGameElement--> Level_Up]. Level_Up is a leveling system that rewards progressive mastery of the topic."
Variables,Level_Up,0.5585190444318882,1.0,0.8675557133295664,High,1,containsGameElement,Variables --containsGameElement--> Level_Up,True,"Level_Up is strongly recommended for Variables (neuro-symbolic score: 0.868 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Variables --containsGameElement--> Level_Up]. Level_Up is a leveling system that rewards progressive mastery of the topic."
Variables,Tiny_stash,0.5583735614149203,1.0,0.867512068424476,High,1,containsGameElement,Variables --containsGameElement--> Tiny_stash,True,"Tiny_stash is strongly recommended for Variables (neuro-symbolic score: 0.868 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Variables --containsGameElement--> Tiny_stash]. Tiny_stash is a lightweight version of the stash mechanic, suitable for shorter activities."
Functions,Stash,0.5556271318862318,1.0,0.8666881395658694,High,1,containsGameElement,Functions --containsGameElement--> Stash,True,"Stash is strongly recommended for Functions (neuro-symbolic score: 0.867 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Functions --containsGameElement--> Stash]. Stash is a collection mechanic that incentivizes completing exercises and accumulating resources."
Strings,Stash,0.5536011485122141,1.0,0.8660803445536642,High,1,containsGameElement,Strings --containsGameElement--> Stash,True,"Stash is strongly recommended for Strings (neuro-symbolic score: 0.866 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Strings --containsGameElement--> Stash]. Stash is a collection mechanic that incentivizes completing exercises and accumulating resources."
Overriding,Level_Up,0.5452929111629183,1.0,0.8635878733488754,High,1,containsGameElement,Overriding --containsGameElement--> Level_Up,True,"Level_Up is strongly recommended for Overriding (neuro-symbolic score: 0.864 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Overriding --containsGameElement--> Level_Up]. Level_Up is a leveling system that rewards progressive mastery of the topic."
Multi-level_inheritance,Level_Up,0.53950336484733,1.0,0.8618510094541989,High,1,containsGameElement,Multi-level_inheritance --containsGameElement--> Level_Up,True,"Level_Up is strongly recommended for Multi-level_inheritance (neuro-symbolic score: 0.862 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Multi-level_inheritance --containsGameElement--> Level_Up]. Level_Up is a leveling system that rewards progressive mastery of the topic."
